week,n,ma2,disaster_which
2017-03-26T00:00:00Z,47,46,NO NATURAL DISASTER
2017-04-02T00:00:00Z,41,44,NO NATURAL DISASTER
2017-04-09T00:00:00Z,54,47.5,NO NATURAL DISASTER
2017-04-16T00:00:00Z,45,49.5,NO NATURAL DISASTER
2017-04-23T00:00:00Z,57,51,NO NATURAL DISASTER
2017-04-30T00:00:00Z,52,54.5,NO NATURAL DISASTER
2017-05-07T00:00:00Z,42,47,NO NATURAL DISASTER
2017-05-14T00:00:00Z,45,43.5,NO NATURAL DISASTER
2017-05-21T00:00:00Z,45,45,NO NATURAL DISASTER
2017-05-28T00:00:00Z,42,43.5,NO NATURAL DISASTER
2017-06-04T00:00:00Z,57,49.5,NO NATURAL DISASTER
2017-06-11T00:00:00Z,56,56.5,NO NATURAL DISASTER
2017-06-18T00:00:00Z,58,57,NO NATURAL DISASTER
2017-06-25T00:00:00Z,48,53,NO NATURAL DISASTER
2017-07-02T00:00:00Z,54,51,NO NATURAL DISASTER
2017-07-09T00:00:00Z,47,50.5,NO NATURAL DISASTER
2017-07-16T00:00:00Z,50,48.5,NO NATURAL DISASTER
2017-07-23T00:00:00Z,41,45.5,NO NATURAL DISASTER
2017-07-30T00:00:00Z,47,44,NO NATURAL DISASTER
2017-08-06T00:00:00Z,50,48.5,NO NATURAL DISASTER
2017-08-13T00:00:00Z,46,48,NO NATURAL DISASTER
2017-08-20T00:00:00Z,60,53,NO NATURAL DISASTER
2017-08-27T00:00:00Z,52,56,NO NATURAL DISASTER
2017-09-03T00:00:00Z,72,62,NO NATURAL DISASTER
2017-09-10T00:00:00Z,46,59,NO NATURAL DISASTER
2017-09-17T00:00:00Z,54,50,NO NATURAL DISASTER
2017-09-24T00:00:00Z,53,53.5,NO NATURAL DISASTER
2017-10-01T00:00:00Z,67,60,NO NATURAL DISASTER
2017-10-08T00:00:00Z,62,64.5,NO NATURAL DISASTER
2017-10-15T00:00:00Z,52,57,NO NATURAL DISASTER
2017-10-22T00:00:00Z,52,52,NO NATURAL DISASTER
2017-10-29T00:00:00Z,70,61,NO NATURAL DISASTER
2017-11-05T00:00:00Z,43,56.5,NO NATURAL DISASTER
2017-11-12T00:00:00Z,68,55.5,NO NATURAL DISASTER
